ticker,sector,approx_mktcap_usd
MAT,Consumer Discretionary,5000000000
MIDD,Industrials,5000000000
MMS,Industrials,5000000000
MOG-A,Industrials,5000000000
MORN,Financials,5000000000
MSA,Industrials,5000000000
MSM,Industrials,5000000000
MTDR,Energy,5000000000
MTG,Financials,5000000000
MTN,Consumer Discretionary,5000000000
MUR,Energy,5000000000
MUSA,Consumer Discretionary,5000000000
MZTI,Consumer Staples,5000000000
NEU,Materials,5000000000
NFG,Utilities,5000000000
NJR,Utilities,5000000000
NNN,Real Estate,5000000000
NOV,Energy,5000000000
NOVT,Information Technology,5000000000
NVST,Health Care,5000000000
NWE,Utilities,5000000000
NXST,Communication Services,5000000000
OGE,Utilities,5000000000
OGS,Utilities,5000000000
OLED,Information Technology,5000000000
OLLI,Consumer Discretionary,5000000000
OLN,Materials,5000000000
ONB,Financials,5000000000
OPCH,Health Care,5000000000
ORA,Utilities,5000000000
OSK,Industrials,5000000000
OZK,Financials,5000000000
PATH,Information Technology,5000000000
PB,Financials,5000000000
PBF,Energy,5000000000
PCTY,Industrials,5000000000
PEGA,Information Technology,5000000000
PII,Consumer Discretionary,5000000000
PK,Real Estate,5000000000
PLNT,Consumer Discretionary,5000000000
POR,Utilities,5000000000
POST,Consumer Staples,5000000000
PPC,Consumer Staples,5000000000
PRI,Financials,5000000000
PSN,Industrials,5000000000
PVH,Consumer Discretionary,5000000000
QLYS,Information Technology,5000000000
R,Industrials,5000000000
REXR,Real Estate,5000000000
RH,Consumer Discretionary,5000000000
RLI,Financials,5000000000
RMBS,Information Technology,5000000000
RRC,Energy,5000000000
RYN,Real Estate,5000000000
SAIA,Industrials,5000000000
SAIC,Industrials,5000000000
SAM,Consumer Staples,5000000000
SARO,Industrials,5000000000
SBRA,Real Estate,5000000000
SFM,Consumer Staples,5000000000
SHC,Health Care,5000000000
SIGI,Financials,5000000000
SIRI,Communication Services,5000000000
SLAB,Information Technology,5000000000
SLGN,Materials,5000000000
SLM,Financials,5000000000
SMG,Materials,5000000000
SON,Materials,5000000000
SPXC,Industrials,5000000000
SR,Utilities,5000000000
SSD,Industrials,5000000000
ST,Industrials,5000000000
STAG,Real Estate,5000000000
STWD,Financials,5000000000
SWX,Utilities,5000000000
SYNA,Information Technology,5000000000
TCBI,Financials,5000000000
TEX,Industrials,5000000000
THG,Financials,5000000000
THO,Consumer Discretionary,5000000000
TKR,Industrials,5000000000
TNL,Consumer Discretionary,5000000000
TREX,Industrials,5000000000
TTC,Industrials,5000000000
TTEK,Industrials,5000000000
TXNM,Utilities,5000000000
UBSI,Financials,5000000000
UFPI,Industrials,5000000000
UGI,Utilities,5000000000
VAL,Energy,5000000000
VC,Consumer Discretionary,5000000000
VFC,Consumer Discretionary,5000000000
VIAV,Information Technology,5000000000
VICR,Industrials,5000000000
VLY,Financials,5000000000
VMI,Industrials,5000000000
VNO,Real Estate,5000000000
VNT,Information Technology,5000000000
VOYA,Financials,5000000000
VVV,Consumer Discretionary,5000000000
WAL,Financials,5000000000
WEX,Financials,5000000000
WFRD,Energy,5000000000
WH,Consumer Discretionary,5000000000
WHR,Consumer Discretionary,5000000000
WING,Consumer Discretionary,5000000000
WLK,Materials,5000000000
XRAY,Health Care,5000000000
YETI,Consumer Discretionary,5000000000
ZION,Financials,5000000000
AAMI,Financials,1500000000
AAP,Consumer Discretionary,1500000000
AAT,Real Estate,1500000000
ABCB,Financials,1500000000
ABG,Consumer Discretionary,1500000000
ABM,Industrials,1500000000
ABR,Financials,1500000000
ACA,Industrials,1500000000
ACAD,Health Care,1500000000
ACHC,Health Care,1500000000
ACIW,Information Technology,1500000000
ACLS,Information Technology,1500000000
ACMR,Information Technology,1500000000
ACT,Financials,1500000000
ADAM,Real Estate,1500000000
ADEA,Information Technology,1500000000
ADIG,Information Technology,1500000000
ADMA,Health Care,1500000000
ADNT,Consumer Discretionary,1500000000
ADT,Consumer Discretionary,1500000000
ADUS,Health Care,1500000000
AEO,Consumer Discretionary,1500000000
AESI,Energy,1500000000
AGNT,Real Estate,1500000000
AGO,Financials,1500000000
AGX,Industrials,1500000000
AGYS,Information Technology,1500000000
AHCO,Health Care,1500000000
AIN,Industrials,1500000000
AIR,Industrials,1500000000
AKR,Real Estate,1500000000
ALG,Industrials,1500000000
ALGT,Industrials,1500000000
ALHC,Health Care,1500000000
ALKS,Health Care,1500000000
ALRM,Financials,1500000000
AMN,Health Care,1500000000
AMPH,Health Care,1500000000
AMR,Materials,1500000000
AMRX,Health Care,1500000000
AMSF,Financials,1500000000
AMTM,Industrials,1500000000
ANDE,Consumer Staples,1500000000
ANIP,Health Care,1500000000
AORT,Health Care,1500000000
AOSL,Information Technology,1500000000
APAM,Financials,1500000000
APLE,Real Estate,1500000000
APOG,Industrials,1500000000
ARCB,Industrials,1500000000
ARLO,Information Technology,1500000000
AROC,Energy,1500000000
ARR,Real Estate,1500000000
ASO,Consumer Discretionary,1500000000
ASTE,Industrials,1500000000
ASTH,Health Care,1500000000
ATEN,Information Technology,1500000000
ATMU,Industrials,1500000000
AUB,Financials,1500000000
AVA,Utilities,1500000000
AWI,Industrials,1500000000
AWR,Utilities,1500000000
AX,Financials,1500000000
AZTA,Health Care,1500000000
AZZ,Industrials,1500000000
BANC,Financials,1500000000
BANF,Financials,1500000000
BANR,Financials,1500000000
BBT,Financials,1500000000
BCC,Industrials,1500000000
BCPC,Materials,1500000000
BFAM,Consumer Discretionary,1500000000
BFH,Financials,1500000000
BFS,Real Estate,1500000000
BGC,Financials,1500000000
BHE,Information Technology,1500000000
BJRI,Consumer Discretionary,1500000000
BKE,Consumer Discretionary,1500000000
BKU,Financials,1500000000
BL,Information Technology,1500000000
BLFS,Health Care,1500000000
BLKB,Information Technology,1500000000
BMI,Information Technology,1500000000
BNL,Real Estate,1500000000
BOH,Financials,1500000000
BOOT,Consumer Discretionary,1500000000
BOX,Information Technology,1500000000
BRC,Industrials,1500000000
BTU,Energy,1500000000
BXMT,Financials,1500000000
CACC,Financials,1500000000
CAG,Consumer Staples,1500000000
CAKE,Consumer Discretionary,1500000000
CALM,Consumer Staples,1500000000
CALX,Information Technology,1500000000
CALY,Consumer Discretionary,1500000000
CARG,Communication Services,1500000000
CASH,Financials,1500000000
CATY,Financials,1500000000
CBRL,Consumer Discretionary,1500000000
CBU,Financials,1500000000
CC,Materials,1500000000
CCOI,Communication Services,1500000000
CCS,Consumer Discretionary,1500000000
CE,Materials,1500000000
CENT,Consumer Staples,1500000000
CENTA,Consumer Staples,1500000000
CENX,Materials,1500000000
CERT,Health Care,1500000000
CFFN,Financials,1500000000
CHCO,Financials,1500000000
CHEF,Consumer Staples,1500000000
CLSK,Information Technology,1500000000
CNK,Communication Services,1500000000
CNMD,Health Care,1500000000
CNR,Energy,1500000000
CNS,Financials,1500000000
CNXC,Industrials,1500000000
CNXN,Information Technology,1500000000
COCO,Consumer Staples,1500000000
COHU,Information Technology,1500000000
COLL,Health Care,1500000000
CON,Health Care,1500000000
COTY,Consumer Staples,1500000000
CPB,Consumer Staples,1500000000
CPF,Financials,1500000000
CPK,Utilities,1500000000
CRC,Energy,1500000000
CRGY,Energy,1500000000
CRI,Consumer Discretionary,1500000000
CRK,Energy,1500000000
CRSR,Information Technology,1500000000
CRVL,Health Care,1500000000
CSR,Real Estate,1500000000
CSW,Industrials,1500000000
CTS,Information Technology,1500000000
CUBI,Financials,1500000000
CURB,Real Estate,1500000000
CVBF,Financials,1500000000
CVCO,Consumer Discretionary,1500000000
CVI,Energy,1500000000
CVSA,Consumer Discretionary,1500000000
CWEN,Utilities,1500000000
CWEN-A,Utilities,1500000000
CWK,Real Estate,1500000000
CWST,Industrials,1500000000
CWT,Utilities,1500000000
CXM,Information Technology,1500000000
CXW,Industrials,1500000000
CZR,Consumer Discretionary,1500000000
DAN,Consumer Discretionary,1500000000
DAVE,Financials,1500000000
DBD,Information Technology,1500000000
DCH,Consumer Discretionary,1500000000
DCOM,Financials,1500000000
DEA,Real Estate,1500000000
DEI,Real Estate,1500000000
DFH,Consumer Discretionary,1500000000
DFIN,Financials,1500000000
DGII,Information Technology,1500000000
DIOD,Information Technology,1500000000
DLX,Industrials,1500000000
DMC,Consumer Staples,1500000000
DNOW,Industrials,1500000000
DORM,Consumer Discretionary,1500000000
DRH,Real Estate,1500000000
DV,Communication Services,1500000000
DXC,Information Technology,1500000000
DXPE,Industrials,1500000000
EAT,Consumer Discretionary,1500000000
EBC,Financials,1500000000
ECG,Industrials,1500000000
ECPG,Financials,1500000000
EFC,Financials,1500000000
EFOR,Information Technology,1500000000
EGBN,Financials,1500000000
EIG,Financials,1500000000
EMN,Materials,1500000000
ENOV,Health Care,1500000000
ENPH,Information Technology,1500000000
ENR,Consumer Staples,1500000000
ENVA,Financials,1500000000
EPAC,Industrials,1500000000
EPAM,Information Technology,1500000000
EPC,Consumer Staples,1500000000
EPRT,Real Estate,1500000000
ESE,Industrials,1500000000
ESI,Materials,1500000000
ETSY,Consumer Discretionary,1500000000
EVTC,Financials,1500000000
EXTR,Information Technology,1500000000
EYE,Consumer Discretionary,1500000000
EZPW,Financials,1500000000
FA,Industrials,1500000000
FBK,Financials,1500000000
FBNC,Financials,1500000000
FBP,Financials,1500000000
FBRT,Real Estate,1500000000
FCF,Financials,1500000000
FCPT,Real Estate,1500000000
FELE,Industrials,1500000000
FFBC,Financials,1500000000
FG,Financials,1500000000
FHB,Financials,1500000000
FIBK,Financials,1500000000
FIVN,Information Technology,1500000000
FIZZ,Consumer Staples,1500000000
FLO,Consumer Staples,1500000000
FMC,Materials,1500000000
FORM,Information Technology,1500000000
FOXF,Consumer Discretionary,1500000000
FRPT,Consumer Staples,1500000000
FSS,Industrials,1500000000
FTDR,Consumer Discretionary,1500000000
FTRE,Health Care,1500000000
FUL,Materials,1500000000
FULT,Financials,1500000000
FUN,Consumer Discretionary,1500000000
GBX,Industrials,1500000000
GEO,Industrials,1500000000
GFF,Industrials,1500000000
GIII,Consumer Discretionary,1500000000
GNL,Real Estate,1500000000
GNW,Financials,1500000000
GO,Consumer Staples,1500000000
GOLF,Consumer Discretionary,1500000000
GPI,Consumer Discretionary,1500000000
GPOR,Energy,1500000000
GRBK,Consumer Discretionary,1500000000
GSHD,Financials,1500000000
GT,Consumer Discretionary,1500000000
GTES,Industrials,1500000000
GTM,Communication Services,1500000000
GTY,Real Estate,1500000000
GVA,Industrials,1500000000
HAFC,Financials,1500000000
HASI,Financials,1500000000
HAYW,Industrials,1500000000
HCC,Materials,1500000000
HCI,Financials,1500000000
HCSG,Industrials,1500000000
HE,Utilities,1500000000
HFWA,Financials,1500000000
HIW,Real Estate,1500000000
HLIT,Information Technology,1500000000
HLX,Energy,1500000000
HMN,Financials,1500000000
HNI,Industrials,1500000000
HOPE,Financials,1500000000
HP,Energy,1500000000
HRMY,Health Care,1500000000
HSTM,Health Care,1500000000
HTH,Financials,1500000000
HTLD,Industrials,1500000000
HTO,Utilities,1500000000
HUBG,Industrials,1500000000
HWKN,Materials,1500000000
HZO,Consumer Discretionary,1500000000
IART,Health Care,1500000000
IBP,Consumer Discretionary,1500000000
ICHR,Information Technology,1500000000
ICUI,Health Care,1500000000
IIPR,Real Estate,1500000000
INDB,Financials,1500000000
INDV,Health Care,1500000000
INSP,Health Care,1500000000
INSW,Energy,1500000000
INVA,Health Care,1500000000
INVX,Energy,1500000000
IOSP,Materials,1500000000
IPAR,Consumer Staples,1500000000
IRDM,Communication Services,1500000000
ITGR,Health Care,1500000000
ITRI,Information Technology,1500000000
IVT,Real Estate,1500000000
JBGS,Real Estate,1500000000
JBLU,Industrials,1500000000
JBSS,Consumer Staples,1500000000
JBTM,Industrials,1500000000
JJSF,Consumer Staples,1500000000
JOE,Real Estate,1500000000
JXN,Financials,1500000000
KAI,Industrials,1500000000
